FullAddress,Steet,City,State,Zipcode,Retailer,Calc_Rebate,Check_Amount,AddressFull,Rebate_Status,RebateType,Site_Type
"2114 BELLVIEW DR, PALO ALTO, CA 94303",2114 BELLVIEW DR,PALO ALTO,CA,94303,Palo Alto,$350.00 ,,2114 BELLVIEW DR PA 94303,Notice to Proceed Sent,IW,Single Family
"3778 NORCLIFFE CT, SAN JOSE, CA 95136",3778 NORCLIFFE CT,SAN JOSE,CA,95136,SJ Water Co.,$350.00 ,,3778 NORCLIFFE CT SJ 95136,Notice to Proceed Sent,IW,Single Family
"1010 MALONE RD, SAN JOSE, CA 95125",1010 MALONE RD,SAN JOSE,CA,95125,SJ Water Co.,"$1,893.00 ",,1010 MALONE RD SJ 95125,Appl. Received Complete,LI,Single Family
"440 RIDGEFARM DR, SAN JOSE, CA 95123",440 RIDGEFARM DR,SAN JOSE,CA,95123,Great Oaks,$350.00 ,,440 RIDGEFARM DR SJ 95123,Notice to Proceed Sent,IW,Single Family
"1501 DRY CREEK RD, SAN JOSE, CA 95125",1501 DRY CREEK RD,SAN JOSE,CA,95125,SJ Water Co.,$350.00 ,,1501 DRY CREEK RD SJ 95125,Notice to Proceed Sent,IW,Single Family
"2782 LYLE CT, SANTA CLARA, CA 95051",2782 LYLE CT,SANTA CLARA,CA,95051,Santa Clara,$0.00 ,,2782 LYLE CT SC 95051,Notice to Proceed Sent,I,Single Family
"6320 RASPBERRY CT, GILROY, CA 95020",6320 RASPBERRY CT,GILROY,CA,95020,Gilroy,"$1,828.00 ",,6320 RASPBERRY CT GI 95020,Appl. Received Complete,LIW,Single Family
"2495 COUNTRY DR, GILROY, CA 95020",2495 COUNTRY DR,GILROY,CA,95020,Gilroy,"$2,000.00 ",,2495 COUNTRY DR GI 95020,Appl. Received Complete,LIW,Single Family
"1325 PREVOST ST, SAN JOSE, CA 95125",1325 PREVOST ST,SAN JOSE,CA,95125,SJ Water Co.,$350.00 ,,1325 PREVOST ST SJ 95125,Notice to Proceed Sent,IW,Single Family
"139 HAMILTON AV, MOUNTAIN VIEW, CA 94043",139 HAMILTON AV,MOUNTAIN VIEW,CA,94043,Mountain View,$268.48 ,,139 HAMILTON AV MV 94043,Post Insp. Approved,IW,Single Family
"18352 CLEMSON AV, SARATOGA, CA 95070",18352 CLEMSON AV,SARATOGA,CA,95070,SJ Water Co.,"$1,539.00 ",,18352 CLEMSON AV SA 95070,Appl. Received Complete,LIW,Single Family
"142 FLYNN AV, MOUNTAIN VIEW, CA 94043",142 FLYNN AV,MOUNTAIN VIEW,CA,94043,Mountain View,$263.97 ,,142 FLYNN AV MV 94043,Post Insp. Approved,IW,Single Family
"1000 CAPITOLA WY, SANTA CLARA, CA 95051",1000 CAPITOLA WY,SANTA CLARA,CA,95051,Santa Clara,$650.00 ,,1000 CAPITOLA WY SC 95051,Notice to Proceed Sent,IW,Single Family
"81 RIVER ASH CT, SAN JOSE, CA 95136",81 RIVER ASH CT,SAN JOSE,CA,95136,SJ Water Co.,$700.00 ,,81 RIVER ASH CT SJ 95136,Notice to Proceed Sent,IW,Single Family
"542 SIERRA VISTA AV, MOUNTAIN VIEW, CA 94043",542 SIERRA VISTA AV,MOUNTAIN VIEW,CA,94043,Mountain View,$0.00 ,,542 SIERRA VISTA AV MV 94043,Site is Disqualified,IW,Single Family
"20085 CEDAR TREE LN, CUPERTINO, CA 95014",20085 CEDAR TREE LN,CUPERTINO,CA,95014,California Water,"$1,000.00 ","$1,000.00 ",20085 CEDAR TREE LN CU 95014,Check Issued,I,Single Family
"378 PENN WY, LOS GATOS, CA 95032",378 PENN WY,LOS GATOS,CA,95032,SJ Water Co.,$148.38 ,,378 PENN WY LG 95032,Ready to be Paid,IW,Single Family
"10403 S BLANEY AV, CUPERTINO, CA 95014",10403 S BLANEY AV,CUPERTINO,CA,95014,SJ Water Co.,"$2,007.00 ",,10403 S BLANEY AV CU 95014,Appl. Received Complete,L,Single Family
"6560 IDLEBROOK CT, SAN JOSE, CA 95120",6560 IDLEBROOK CT,SAN JOSE,CA,95120,SJ Water Co.,$799.00 ,,6560 IDLEBROOK CT SJ 95120,Appl. Received Complete,L,Single Family
"1517 WENDY WY, SAN JOSE, CA 95125",1517 WENDY WY,SAN JOSE,CA,95125,SJ Water Co.,"$1,832.00 ",,1517 WENDY WY SJ 95125,Notice to Proceed Sent,LIW,Single Family
"2147 URIDIAS RANCH RD, MILPITAS, CA 95035",2147 URIDIAS RANCH RD,MILPITAS,CA,95035,Milpitas,"$1,403.50 ",,2147 URIDIAS RANCH RD MI 95035,Appl. Received Complete,DIW,Single Family
"16 PENNSYLVANIA AV, LOS GATOS, CA 95030",16 PENNSYLVANIA AV,LOS GATOS,CA,95030,SJ Water Co.,$0.00 ,,16 PENNSYLVANIA AV LG 95030,Site is Disqualified,,Single Family
"680 COE AV, SAN JOSE, CA 95125",680 COE AV,SAN JOSE,CA,95125,SJ Water Co.,"$1,770.00 ",,680 COE AV SJ 95125,Notice to Proceed Sent,LIW,Single Family
"10949 MARIA ROSA WY, CUPERTINO, CA 95014",10949 MARIA ROSA WY,CUPERTINO,CA,95014,SJ Water Co.,$490.00 ,,10949 MARIA ROSA WY CU 95014,Notice to Proceed Sent,I,Single Family
"1518 SAN ANDREAS AV, SAN JOSE, CA 95118",1518 SAN ANDREAS AV,SAN JOSE,CA,95118,SJ Water Co.,$0.00 ,,1518 SAN ANDREAS AV SJ 95118,Site is Disqualified,IW,Single Family
"17045 CONDIT RD, MORGAN HILL, CA 95037",17045 CONDIT RD,MORGAN HILL,CA,95037,Morgan Hill,"$6,191.75 ",,17045 CONDIT RD MH 95037,Appl. Received Complete,LDIW,Commercial
"12770 SARATOGA AV, SARATOGA, CA 95070",12770 SARATOGA AV,SARATOGA,CA,95070,SJ Water Co.,"$1,217.25 ",,12770 SARATOGA AV SA 95070,Appl. Received Complete,LDIW,Commercial
"677 VASONA ST, MILPITAS, CA 95035",677 VASONA ST,MILPITAS,CA,95035,Milpitas,$880.00 ,,677 VASONA ST MI 95035,Notice to Proceed Sent,L,Single Family
"1378 ROBNICK CT, CAMPBELL, CA 95008",1378 ROBNICK CT,CAMPBELL,CA,95008,SJ Water Co.,$245.00 ,,1378 ROBNICK CT CA 95008,Notice to Proceed Sent,I,Single Family
